"","Made","Dist","Home","Stadium..","Indoor","Grass","Playoff","Time","Qtr","Marg","X.Marg.","Temp","Precip","Precip.Bin","Dewpt","Humidity","H.T.wind","C.wind","Altitude","Wind","Denver","FG.ID","Backup","Def.PA"
"67",1,28,1,15,0,1,0,43,2,-7,7,88,0,0,68,0.51,1.8,4.2,22,4.6,0,67,0,21.4
"68",1,21,0,15,0,1,0,36,2,4,4,88,0,0,68,0.51,1.8,4.2,22,4.6,0,68,0,22.9
"69",1,50,1,15,0,1,0,21,3,0,0,91,0,0,68,0.47,0,0,22,0,0,69,0,21.4
"70",1,39,1,15,0,1,0,14,4,3,3,91,0,0,68,0.47,2.5,2.5,22,3.5,0,70,0,21.4
"71",1,45,0,15,0,1,0,0,4,1,1,91,0,0,68,0.47,2.5,2.5,22,3.5,0,71,0,22.9
"72",1,56,0,16,0,1,0,50,1,0,0,60.1,0,0,49,0.67,21.3,0,889,21.3,0,72,0,27.5
"73",1,25,0,16,0,1,0,46,1,3,3,60.1,0,0,49,0.67,21.3,0,889,21.3,0,73,0,27.5
"74",1,40,0,16,0,1,0,7,4,13,13,61,0,0,48,0.62,14.5,0,889,14.5,0,74,0,27.5
"75",1,45,1,18,1,0,0,55,1,0,0,72,0,0,52,0.5,0,0,640,0,0,75,0,18.6
"76",1,27,1,18,1,0,0,45,1,3,3,72,0,0,52,0.5,0,0,640,0,0,76,0,18.6
"77",1,53,1,18,1,0,0,30,2,6,6,72,0,0,52,0.5,0,0,640,0,0,77,0,18.6
"78",1,46,1,18,1,0,0,25,3,9,9,72,0,0,52,0.5,0,0,640,0,0,78,0,18.6
"79",1,28,1,18,1,0,0,19,3,12,12,72,0,0,52,0.5,0,0,640,0,0,79,0,18.6
"80",0,30,0,18,1,0,0,14,4,-8,8,72,0,0,52,0.5,0,0,640,0,0,80,0,20.8
"81",0,48,1,18,1,0,0,7,4,8,8,72,0,0,52,0.5,0,0,640,0,0,81,0,18.6
"82",1,47,0,18,1,0,0,0,4,0,0,72,0,0,52,0.5,0,0,640,0,0,82,0,20.8
"83",1,26,0,27,0,0,0,47,1,-7,7,72,0,0,52,0.49,9.2,0,52,9.2,0,83,0,24.5
"84",1,28,0,27,0,0,0,37,2,-11,11,73.9,0,0,51,0.45,10.4,0,52,10.4,0,84,0,24.5
"85",1,51,1,27,0,0,0,32,2,8,8,73.9,0,0,51,0.45,10.4,0,52,10.4,0,85,0,23.8
"86",1,38,1,27,0,0,0,30,2,4,4,73.9,0,0,51,0.45,10.4,0,52,10.4,0,86,0,23.8
"87",1,32,1,27,0,0,0,7,4,0,0,75.9,0,0,51,0.42,10.4,0,52,10.4,0,87,0,23.8
"88",1,28,0,27,0,0,0,2,4,-3,3,75.9,0,0,51,0.42,10.4,0,52,10.4,0,88,0,24.5
"89",0,41,0,27,0,0,0,0,4,0,0,75.9,0,0,51,0.42,10.4,0,52,10.4,0,89,0,24.5
"90",1,40,0,27,0,0,0,0,4,0,0,75.9,0,0,51,0.42,10.4,0,52,10.4,0,90,0,24.5
"91",1,54,1,29,1,0,0,44,2,-7,7,72,0,0,52,0.5,0,0,545,0,0,91,0,18.4
"92",1,39,0,29,1,0,0,38,2,4,4,72,0,0,52,0.5,0,0,545,0,0,92,0,29.1
"93",1,54,1,29,1,0,0,32,2,-7,7,72,0,0,52,0.5,0,0,545,0,0,93,0,18.4
"94",1,33,0,29,1,0,0,30,2,4,4,72,0,0,52,0.5,0,0,545,0,0,94,0,29.1
"95",1,33,1,30,0,1,0,39,2,14,14,87.1,0,0,72,0.61,0,12.7,52,12.7,0,95,0,20.3
"96",1,32,0,30,0,1,0,30,2,-17,17,87.1,0,0,72,0.61,0,12.7,52,12.7,0,96,0,20.2
"97",1,27,0,30,0,1,0,16,3,-14,14,84.9,0,0,71,0.63,4,9.6,52,10.4,0,97,0,20.2
"98",1,24,0,30,0,1,0,5,4,-11,11,84,0,0,71,0.65,5.7,5.7,52,8.1,0,98,0,20.2
"99",0,49,1,32,0,1,0,54,1,0,0,8,0,0,74,0.63,7.4,7.4,207,10.5,0,99,0,22.7
"100",1,22,1,32,0,1,0,46,1,0,0,8,0,0,74,0.63,7.4,7.4,207,10.5,0,100,0,22.7
"101",1,36,1,32,0,1,0,43,2,3,3,90,0,0,76,0.63,4,9.6,207,10.4,0,101,0,22.7
"102",0,30,1,32,0,1,0,35,2,-1,1,90,0,0,76,0.63,4,9.6,207,10.4,0,102,0,22.7
"103",1,35,1,32,0,1,0,31,2,-1,1,90,0,0,76,0.63,4,9.6,207,10.4,0,103,0,22.7
"104",1,49,0,32,0,1,0,30,2,-2,2,90,0,0,76,0.63,4,9.6,207,10.4,0,104,1,18.5
"105",0,31,1,35,0,0,0,54,1,0,0,91,0,0,72,0.53,8.1,8.1,60,11.5,0,105,0,19.3
"106",1,21,0,35,0,0,0,48,1,0,0,91,0,0,72,0.53,8.1,8.1,60,11.5,0,106,0,22.3
"107",1,37,0,35,0,0,0,43,2,3,3,88,0,0,71,0.57,5.7,5.7,60,8.1,0,107,0,22.3
"108",1,21,1,35,0,0,0,37,2,-6,6,88,0,0,71,0.57,5.7,5.7,60,8.1,0,108,0,19.3
"109",1,28,0,35,0,0,0,15,3,10,10,86,0,0,72,0.63,7.4,7.4,60,10.5,0,109,0,22.3
"110",1,27,0,35,0,0,0,5,4,6,6,84.9,0,0,73,0.67,7.4,7.4,60,10.5,0,110,0,22.3
"111",1,34,0,40,0,0,0,55,1,0,0,75.9,0,0,41,0.29,8.1,8.1,1368,11.5,0,111,0,22.8
"112",1,44,0,40,0,0,0,48,1,-4,4,75.9,0,0,41,0.29,8.1,8.1,1368,11.5,0,112,0,22.8
"113",1,22,0,40,0,0,0,30,2,6,6,71.1,0,0,43,0.36,4.9,4.9,1368,6.9,0,113,0,22.8
"114",1,51,1,40,0,0,0,30,2,-9,9,71.1,0,0,43,0.36,4.9,4.9,1368,6.9,0,114,0,18.1
